2	54	10300
2	58	4616
2	62	3782
2	66	3312
2	70	2686
2	74	2547
2	78	2119
2	82	1868
2	86	1594
2	90	1471
2	94	1373
2	98	1332
3	102	662
3	106	354
3	110	215
3	114	167
3	118	142
3	122	108
3	126	94
3	130	85
3	134	77
3	138	72
3	142	70
3	146	67
3	150	65
4	65	301
4	151	1807
4	155	777
4	159	724
4	163	465
4	167	407
4	171	359
4	175	285
4	179	264
4	183	253
4	187	223
4	191	202
5	154	884
5	194	777
5	198	451
5	202	298
5	206	265
5	210	229
5	214	207
5	218	184
5	222	161
5	226	139
5	230	137
5	234	129
5	238	115
6	241	40
6	245	31
6	249	24
6	253	23
6	257	18
6	261	18
6	265	17
6	269	16
6	273	15
6	277	14
6	281	14
6	285	13
7	67	2540
7	289	11112
7	293	4059
7	297	1848
7	301	1553
7	305	1169
7	309	1027
7	313	900
7	317	773
7	321	674
7	325	599
7	329	534
7	333	498
8	251	235
8	289	2258
8	296	1039
8	311	353
8	336	1735
8	340	800
8	344	553
8	348	504
8	352	417
8	356	350
8	360	257
8	364	178
9	367	2396
9	371	1103
9	375	630
9	379	558
9	383	521
9	387	430
9	391	367
9	395	319
9	399	292
9	403	273
9	407	249
9	411	237
9	415	228
10	199	1386
10	219	189
10	416	3132
10	420	1023
10	424	797
10	428	578
10	432	527
10	436	317
10	440	247
10	444	208
10	448	178
10	452	165
11	89	3384
11	288	749
11	295	521
11	306	249
11	344	243
11	457	1788
11	461	1500
11	465	1006
11	469	552
11	473	441
11	477	336
11	481	293
11	485	238
12	230	2110
12	344	5489
12	407	1600
12	488	7425
12	492	3823
12	496	3407
12	500	2471
12	504	1646
12	508	1495
12	512	1260
12	516	1183
12	520	953
13	67	9
13	292	4
13	300	2
13	318	2
13	344	2
13	461	3
13	524	8
13	528	4
13	532	3
13	536	2
13	540	2
13	544	2
13	548	2
14	552	849
14	556	812
14	560	765
14	564	676
14	568	665
14	572	653
14	576	646
14	580	634
14	584	632
14	588	619
14	592	610
14	596	602
15	154	751
15	205	477
15	222	235
15	429	366
15	601	557
15	605	470
15	609	407
15	613	373
15	617	341
15	621	306
15	625	279
15	629	251
15	633	223
16	386	154
16	636	617
16	640	392
16	644	366
16	648	292
16	652	231
16	656	214
16	660	174
16	664	153
16	668	147
16	672	144
16	676	139
17	67	303
17	288	129
17	300	1089
17	344	1804
17	466	925
17	538	188
17	680	891
17	684	462
17	688	338
17	692	190
17	696	170
17	700	116
17	704	105
18	72	404
18	190	544
18	378	204
18	705	2187
18	709	660
18	713	500
18	717	363
18	721	298
18	725	245
18	729	232
18	733	215
18	737	171
20	88	111
20	504	154
20	745	304
20	749	261
20	753	202
20	757	167
20	761	149
20	765	130
20	769	120
20	773	108
20	777	99
20	781	98
20	785	95
21	89	406
21	293	599
21	300	252
21	318	215
21	465	122
21	531	188
21	674	220
21	701	732
21	789	400
21	793	228
21	797	164
21	801	120
22	503	6257
22	806	2501
22	810	2160
22	814	1627
22	818	1190
22	822	1032
22	826	866
22	830	743
22	834	684
22	838	627
22	842	560
22	846	538
22	850	505
23	159	401
23	226	292
23	436	242
23	707	176
23	854	508
23	858	235
23	862	210
23	866	190
23	870	168
23	874	142
23	878	119
23	882	115
24	67	6917
24	229	2443
24	288	677
24	298	1226
24	310	677
24	425	851
24	690	475
24	885	2776
24	889	1025
24	893	677
24	897	606
24	901	518
24	905	416
25	155	235
25	290	95
25	295	312
25	309	239
25	318	431
25	331	153
25	354	747
25	469	355
25	543	96
25	906	3004
25	910	150
25	914	81
26	25	177
26	841	151
26	920	1622
26	924	1140
26	928	715
26	932	503
26	936	376
26	940	314
26	944	269
26	948	226
26	952	194
26	956	165
26	960	115
27	172	106
27	423	408
27	641	89
27	703	226
27	961	226
27	965	157
27	969	108
27	973	99
27	977	81
27	981	67
27	985	64
27	989	60
28	59	8
28	91	11
28	905	7
28	995	15
28	999	12
28	1003	11
28	1007	9
28	1011	9
28	1015	8
28	1019	7
28	1023	7
28	1027	7
28	1031	7
29	209	23
29	300	68
29	328	62
29	461	40
29	481	57
29	531	32
29	679	293
29	706	33
29	1032	300
29	1036	106
29	1040	63
29	1044	42
30	190	120
30	234	165
30	295	184
30	318	305
30	344	148
30	461	1375
30	498	1604
30	679	321
30	908	90
30	1047	1725
30	1051	166
30	1055	127
30	1059	77
31	59	131
31	159	48
31	515	36
31	875	193
31	1001	1360
31	1062	522
